Country,HPI_Rank,Region,Average_Life_Expectancy,Average_Wellbeing,Happy_Life_Years,Ecological_Footprint,Inequality_of_Outcomes,GDP_per_Capita,Population,Happiness_Measure,Female_Percent,Male_Percent
Philippines,20,Asia Pacific,67.949,5,24.13557084,1.1,0.263115517,2604.655997,96017322,81.26561937,49,51
Poland,62,Post-communist,76.926,5.9,39.17492046,4.44,0.111454728,13142.04599,38063164,11.39306797,51,49
Portugal,79,Europe,80.33,4.99,32.31533737,3.88,0.163386226,20577.40264,10514844,16.87959519,52,48
Republic of Congo,115,Sub Saharan Africa,60.951,3.9,13.58487981,1.29,0.400589723,3191.164299,4286188,73.81685458,50,50
Romania,55,Post-communist,74.327,5.2,30.06118069,2.71,0.194374933,8577.289214,20058035,27.72176727,51,49
Russia,116,Post-communist,69.519,5.6,31.7326434,5.69,0.15916384,14078.83057,143201676,10.88989483,55,45
Rwanda,111,Sub Saharan Africa,63.056,3.3,12.36608509,0.87,0.372088674,667.4145823,10817350,88.99539914,50,50
Senegal,101,Sub Saharan Africa,65.429,3.7,15.488388,1.21,0.328184957,1019.27223,13780108,65.66066944,50,50
Serbia,52,Post-communist,74.495,5.2,30.25787241,2.7,0.190906214,5659.380204,7199077,27.38966811,50,50
Sierra Leone,133,Sub Saharan Africa,49.758,4.5,10.77930556,1.24,0.498696145,618.9472529,6043157,90.051252,51,49
Slovakia,59,Post-communist,75.872,5.9,37.8917422,4.06,0.128154772,17207.27921,5407579,14.1300043,50,50
Slovenia,82,Post-communist,79.953,6.1,42.56742433,5.81,0.102227574,22477.59756,2057159,8.581367897,52,48
South Africa,128,Sub Saharan Africa,56.285,5.1,18.49334268,3.31,0.332740029,7592.157997,52341695,28.85625072,50,50
South Korea,80,Asia Pacific,81.349,6,42.17309759,5.69,0.110594185,24453.97191,50004441,9.486881939,49,51
Spain,15,Europe,82.192,6.3,45.27161111,3.67,0.101492729,28647.83524,46773055,14.3198663,51,49
Sri Lanka,28,Asia Pacific,74.601,4.2,24.94046396,1.32,0.169405552,3350.686574,20424000,40.21125676,47,53
Suriname,75,Americas,70.788,6.3,35.18916458,4.25,0.189257739,9422.270994,528535,19.85934445,49,51
Swaziland,132,Sub Saharan Africa,48.91,4.9,13.6261253,2.01,0.410458121,3988.667162,1231694,48.94028999,51,49
Sweden,61,Europe,81.847,7.6,57.42578674,7.25,0.056707346,57134.07707,9519374,4.865390188,50,50
Switzerland,24,Europe,82.6,7.8,59.31552275,5.79,0.059863953,83208.68654,7996861,6.66133806,51,49
Syria,113,Middle East and North Africa,70.385,3.2,14.72884351,1.51,0.303824505,2079.987864,21427155,45.31854368,48,52
Tajikistan,25,Post-communist,69.01,4.5,22.17521432,0.91,0.258963455,962.4391249,7930929,88.37341325,51,49
Tanzania,97,Sub Saharan Africa,63.544,4,16.20325504,1.32,0.332874686,827.5288808,48645709,64.0975425,51,49
Thailand,9,Asia Pacific,74.087,6.3,38.6247693,2.66,0.150002729,5917.917934,67164130,26.32086037,49,51
Togo,138,Sub Saharan Africa,58.601,2.866666667,8.970004929,1.13,0.428742394,580.4950618,6745581,63.7382608,50,50
Trinidad and Tobago,130,Americas,70.116,6.4,34.3546077,7.92,0.213840039,18322.3238,1341579,12.11604702,49,51
Tunisia,71,Middle East and North Africa,74.644,4.5,25.16149355,2.34,0.220079236,4187.543531,10777500,31.59152791,50,50
Turkey,68,Middle East and North Africa,74.72,5.3,31.17437834,3.33,0.186394065,10646.03553,74099255,22.16667625,50,50
Turkmenistan,134,Post-communist,65.298,5.5,23.9781653,5.47,0.311073773,6797.721166,5172941,20.4238983,51,49
Uganda,112,Sub Saharan Africa,57.14,4.3,13.82055997,1.24,0.413861815,656.3980727,35400620,82.00538365,50,50
Ukraine,70,Post-communist,70.317,5,28.26314236,2.84,0.167264184,3855.42128,45593300,20.70689365,55,45
United Kingdom,34,Europe,80.392,6.9,49.09947035,4.94,0.092973914,41294.5148,63700300,10.439894,51,49
United States of America,108,Americas,78.807,7,46.84822446,8.22,0.129564256,51456.65873,314112078,8.695132903,50,50
Uruguay,14,Americas,76.891,6.4,39.4150588,2.91,0.17669975,15127.64415,3396753,29.88122713,49,51
Uzbekistan,51,Post-communist,68.171,6,27.89009074,2.32,0.298201671,1719.036196,29774500,52.5742399,51,49
Vanuatu,4,Asia Pacific,71.341,6.47,34.89575215,1.86262,0.223331845,3158.420974,247498,55.34391345,48,52
Venezuela,29,Americas,73.885,7.1,41.49450918,3.57,0.189279951,12771.59504,29854238,27.81320425,49,51
Vietnam,5,Asia Pacific,75.477,5.5,32.77024566,1.65,0.185920591,1754.547974,88809200,46.77576152,50,50
Yemen,94,Middle East and North Africa,63.34,4.1,15.20428168,1.03,0.387312703,1289.034078,24882792,97.6531895,49,51
Zambia,77,Sub Saharan Africa,58.409,5,16.67424776,0.99,0.408121659,1686.618024,14786581,120.3938281,50,50
Zimbabwe,99,Sub Saharan Africa,53.673,5,16.42862727,1.37,0.366084609,850.827694,14565482,71.71116494,50,50
Americas,39.96,Americas,74.00936,6.191714286,35.54366615,3.2487272,0.215482493,11435.61449,943958512,42.09719615,49.52,50.48
Asia Pacific,51.76190476,Asia Pacific,73.15761905,5.389047619,31.33207262,3.161797143,0.203682981,12668.37965,3806941766,47.9602565,48.9047619,51.0952381
Europe,50.2,Europe,81.046,6.7995,49.2220979,5.824524854,0.088567561,48534.19983,414479592,9.141050333,50.65,49.35
Middle East and North Africa,74.14285714,Middle East and North Africa,72.46628571,4.871428571,26.81902063,2.742118436,0.241895173,7989.943289,445879295,44.94837484,49.14285714,50.85714286
Post-communist,75.30769231,Post-communist,73.57653846,5.3,31.45273055,3.846538462,0.171048774,9264.717422,390892484,22.42046677,51.61538462,48.38461538
Sub Saharan Africa,111.2941176,Sub Saharan Africa,58.66397059,4.327766106,15.01405275,1.575,0.39229794,2123.453945,719009127,73.50173382,50.32352941,49.67647059
